AAPL	GLD	GOOG	$SPX	XOM
328.16	138.0	604.35	1271.89	71.47
329.87	134.75	602.12	1270.2	71.8
332.57	134.37	609.07	1276.56	71.61
332.3	133.83	613.5	1273.85	72.07
334.68	133.58	616.44	1271.5	72.46
340.99	134.12	614.21	1269.75	72.02
340.18	134.91	616.01	1274.48	72.56
342.95	135.46	616.87	1285.96	73.41
344.2	134.05	616.69	1283.76	73.54
346.99	132.69	624.18	1293.24	74.62
339.19	133.43	639.63	1295.02	75.45
337.39	133.72	631.75	1281.92	75.0
331.26	131.2	626.77	1280.26	74.53
325.32	131.03	611.83	1283.35	75.71
336.01	130.36	611.08	1290.84	75.34
339.94	130.1	619.91	1291.18	75.43
342.38	131.16	616.5	1296.63	76.37
341.74	127.93	616.79	1299.54	76.58
334.66	130.28	600.99	1276.34	75.72
337.87	129.87	600.36	1286.12	77.34
343.55	130.8	611.04	1307.59	80.44
342.85	130.45	612.0	1304.03	79.96
341.97	132.2	610.15	1307.1	79.99
345.02	131.66	610.98	1310.87	79.84
350.38	131.68	614.29	1319.05	80.46
353.68	133.14	618.38	1324.57	79.97
356.63	133.07	616.5	1320.88	79.55
353.02	132.85	616.44	1321.87	80.18
355.32	132.32	624.5	1329.15	79.81
357.64	132.95	628.15	1332.32	81.83
358.36	133.97	624.15	1328.01	79.96
361.58	134.1	624.22	1336.32	80.65
356.77	135.04	625.26	1340.43	80.83
349.06	135.41	630.08	1343.01	81.43
337.16	136.29	610.21	1315.44	82.34
341.16	137.51	611.32	1307.4	83.91
341.41	136.48	608.82	1306.1	82.85
346.67	137.38	610.04	1319.88	82.24
351.7	137.66	613.4	1327.22	82.42
347.82	140.03	600.76	1306.33	81.72
350.61	139.92	600.79	1308.44	81.99
358.02	138.09	609.56	1330.97	82.7
358.46	139.35	600.62	1321.15	81.99
353.84	139.72	591.66	1310.13	81.64
354.24	139.36	592.31	1321.82	81.53
350.96	139.41	591.77	1320.02	81.32
345.19	137.77	580.3	1295.11	78.43
350.49	138.22	576.71	1304.28	79.14
352.05	138.86	569.99	1296.39	79.39
343.95	136.27	569.56	1281.87	78.44
328.6	136.24	557.1	1256.88	76.43
333.21	136.97	561.36	1273.72	78.21
329.26	138.37	561.06	1279.2	77.91
337.85	139.14	576.5	1298.38	79.83
339.74	139.05	577.32	1293.77	79.56
337.74	140.34	582.16	1297.54	79.6
343.5	139.22	586.89	1309.66	79.73
350.04	139.26	579.74	1313.8	80.58
348.94	138.54	575.36	1310.19	80.44
349.46	138.21	581.73	1319.44	80.23
347.14	138.67	581.84	1328.26	81.42
347.02	139.86	586.76	1325.83	81.08
343.09	139.2	591.8	1332.41	81.61
339.73	139.84	587.68	1332.87	81.79
337.44	142.05	569.09	1332.63	82.32
336.59	142.38	574.18	1335.54	82.09
336.63	142.51	580.0	1333.51	82.65
333.63	143.66	578.16	1328.17	82.83
329.39	142.64	577.37	1324.46	82.07
330.98	141.61	570.61	1314.16	80.16
334.69	141.9	576.28	1314.41	80.14
331.0	143.81	578.51	1314.52	80.41
326.06	145.05	530.7	1319.68	81.23
330.43	145.93	526.84	1305.14	80.08
336.42	145.93	521.53	1312.62	80.76
340.95	146.5	525.73	1330.36	82.54
349.2	146.74	525.1	1337.38	83.22
351.5	146.87	525.05	1335.25	83.09
348.92	146.38	532.82	1347.24	84.25
348.65	149.2	537.76	1355.66	84.59
345.27	149.82	537.97	1360.48	84.17
348.63	152.37	544.1	1363.61	84.79
344.8	150.41	538.56	1361.22	83.81
346.71	149.88	533.89	1356.62	82.51
348.08	147.73	535.79	1347.32	81.73
345.27	143.47	534.27	1335.1	79.62
345.18	145.3	535.3	1340.2	79.69
346.11	147.38	537.68	1346.29	80.16
347.96	147.9	542.66	1357.16	80.31
345.75	146.54	535.45	1342.08	78.62
345.09	146.59	535.05	1348.65	78.55
339.04	145.63	529.55	1337.77	78.38
331.88	145.37	518.42	1329.47	77.77
334.7	144.74	530.46	1328.98	77.93
338.42	145.6	529.81	1340.68	79.22
339.07	145.65	531.25	1343.6	79.79
333.79	147.49	524.03	1333.27	79.05
332.97	147.83	518.39	1317.37	78.18
